,MAE,RMSE,sMAPE
SeasonalNaive,1.7176604339849448,2.247992285981537,30.67945802154109
SARIMAX,6.088694972709224,7.073594210166473,116.93239469104249
HybridNet,6.087781772356518,7.079794045725412,117.15314691452295
Hybrid,6.087781772356518,7.079794045725412,117.15314691452295
