Variant,MAE,RMSE,sMAPE,MASE
SARIMAX-only,6.124270437294198,7.09253767818569,117.75232659840553,2.5143859649432847
Unidirectional,6.056159736677996,7.044849196838074,115.96578319601545,2.4864223745947998
No-Attention,6.075408584607089,7.0624199175252,116.5448436178049,2.494325198869102
No-GMM,6.071492519037251,7.062745715624198,116.57557404205028,2.4927174154755667
No-Covariates,6.239425541008403,7.267103408854592,123.69879430907937,2.5616641476321784
Full-Phase2,6.087781772356518,7.079794045725412,117.15314691452295,2.499405145931746
