row_index,abs_error_h1,actual_h1,pred_h1
30,0.053648711142930995,0.05349747320238826,-0.00015123794054273376
3,0.031220829843207745,0.03051604372315882,-0.0007047861200489254
463,0.030916775110855357,-0.029556213687220098,0.0013605614236352579
558,0.030650893255532483,-0.030256620421623668,0.00039427283390881313
43,0.0305811027515346,0.031014711167372273,0.0004336084158376711
6,0.02905155481184723,-0.028290216039922062,0.0007613387719251647
12,0.02621039836494713,0.025372557680205708,-0.0008378406847414234
24,0.025629380978921836,-0.02541638956286785,0.00021299141605398406
54,0.024835253040873754,-0.02476571168045656,6.954136041719686e-05
21,0.024621382957869354,0.023511965764331483,-0.0011094171935378703
11,0.02440665303619659,-0.023052740004696717,0.0013539130314998737
529,0.02439624418257865,0.024561678303625288,0.00016543412104663702
2,0.024316744188548164,0.026058922846765652,0.0017421786582174873
455,0.023317494563182113,-0.0229232217292733,0.00039427283390881313
16,0.023050321135319626,0.024010804354367154,0.0009604832190475284
