Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,84.79639434814453,84.8412860498673,83.43462421364933,84.0780985780434,118944600
2010-01-05,85.02083587646484,85.05824942358781,84.43722107578378,84.74399617837582,111579900
2010-01-06,85.08069610595703,85.29019827149394,84.87119394042013,84.93853147569733,116074400
2010-01-07,85.43984985351562,85.54460094008545,84.68414069311395,84.92357256363152,131091100
2010-01-08,85.7241439819336,85.76155751793638,85.04326215301481,85.21535071821779,126402800
2010-01-11,85.84390258789062,86.14318818085562,85.47726803204701,86.10578033598838,106375700
2010-01-12,85.04329681396484,85.45481733519773,84.71407583017339,85.27524484790531,163333500
2010-01-13,85.7615966796875,86.00102857732769,84.82631493757633,85.2602813274508,161822000
2010-01-14,85.9935073852539,86.1506339646809,85.61191100178593,85.66428652826158,115718800
2010-01-15,85.02830505371094,85.92617294465316,84.6990841630632,85.84387343049606,212283100
2010-01-19,86.09078216552734,86.1431576966123,84.9908903042385,85.01334185342184,139172700
2010-01-20,85.21540069580078,85.63440514395229,84.53451846755456,85.50720818055022,216490200
2010-01-21,83.57674407958984,85.49968242021016,83.47199301889493,85.2378047684729,344859600
2010-01-22,81.71368408203125,83.60669317197257,81.62389499123934,83.20265082616797,345942400
2010-01-25,82.1326904296875,82.6115598837771,81.86333456773966,82.46191139546593,186937500
2010-01-26,81.78852081298828,82.65646506127828,81.58650245644192,81.81096666277043,211168800
2010-01-27,82.17760467529297,82.36466104264535,81.05526647117863,81.68377312539916,271863600
2010-01-28,81.23481750488281,82.49183618944313,80.7409917940765,82.4469444998714,316104000
2010-01-29,80.35192108154297,82.15514694209463,80.22472414018218,81.58649406920821,310677600
2010-02-01,81.60143280029297,81.60891665015306,80.43420339633285,80.92055088415118,187865000
2010-02-02,82.58911895751953,82.74624560908724,81.46678083903002,81.75111014915842,216327900
2010-02-03,82.17760467529297,82.66395237211063,81.9381727534222,82.21501252365906,172730700
2010-02-04,79.64112091064453,81.57902213925098,79.6261532044697,81.54161429082853,356715700
2010-02-05,79.80570220947266,79.97030695758033,78.24939243050274,79.73087512300845,493585800
2010-02-08,79.22958374023438,80.30703009659625,79.16972434076837,79.86557416116766,224166900
2010-02-09,80.2247314453125,80.92058132292264,79.51391386235198,80.15738818824984,337820500
2010-02-10,80.06756591796875,80.50901596686492,79.39416221680965,80.09749560563185,240511500
2010-02-11,80.90558624267578,80.99537531887631,79.4989249665645,79.96282663084298,223591600
2010-02-12,80.83827209472656,80.88316379155664,79.69348815750591,80.05263314915994,304622100
2010-02-16,82.11024475097656,82.19254999258898,80.67365351129718,81.45180852658338,159317500
2010-02-17,82.49929809570312,82.61153299828369,82.11021786122436,82.50677623630536,168845100
2010-02-18,82.98567962646484,83.15776826708161,82.33472149087635,82.36465119109374,193708600
2010-02-19,83.15779113769531,83.4795283678854,82.57417609421289,82.76871634487642,222684900
2010-02-22,83.17273712158203,83.48699041545036,82.92582137275404,83.46454456710359,132346900
2010-02-23,82.16265106201172,83.20268418620111,81.94566495364374,82.94829022305069,207497000
2010-02-24,82.91831970214844,83.05300047179428,82.2000241668725,82.4095263177648,176350700
2010-02-25,82.80610656738281,82.86596597153485,81.51167977651009,81.73614397931978,259634700
2010-02-26,82.85844421386719,83.1427733992646,82.38706446595137,82.88089005302923,173589300
2010-03-01,83.71892547607422,83.80123071291916,83.1802023652731,83.20264821013885,147709700
2010-03-02,83.95085906982422,84.35490133355017,83.80121632407602,84.07806168306551,160992400
2010-03-03,84.02571868896484,84.52702836070165,83.81621077188163,84.1678776399232,150785000
2010-03-04,84.28009796142578,84.39981675039803,83.82368006835462,84.13793332664773,135770400
2010-03-05,85.48474884033203,85.55208638379925,84.62428851993153,84.82631256734632,176118800
2010-03-08,85.49971008300781,85.68676642455578,85.35006729317203,85.49223193947059,114631200
2010-03-09,85.6418685913086,86.03842709360772,85.20041839697745,85.24531008900948,154556700
2010-03-10,86.02346801757812,86.25541604562089,85.60446365504762,85.67928504714145,186088800
2010-03-11,86.38261413574219,86.4050656913256,85.55956739471449,85.82144512479061,160791100
2010-03-12,86.39009094238281,86.771687437092,86.15065907890971,86.75671973459035,162074800
2010-03-15,86.41252136230469,86.47238074461406,85.74660143250131,86.24043277379634,146816800
2010-03-16,87.10091400146484,87.18321353650232,86.41254235468918,86.6519742335875,168673000
2010-03-17,87.61717987060547,87.90150913279969,87.10838644765919,87.36278601338529,177468100
2010-03-18,87.5722885131836,87.74437713289736,87.22062171397818,87.62466405507551,196509100
2010-03-19,87.12901306152344,88.12073738195929,86.79092170763928,87.12901306152344,226641100
2010-03-22,87.59481811523438,87.75259751725838,86.5805555325873,86.63314675592416,184477800
2010-03-23,88.21088409423828,88.28601358521149,87.43703371437732,87.72253380489333,182941600
2010-03-24,87.78266143798828,88.2259353179145,86.83601923776565,87.88033496564069,196072600
2010-03-25,87.63988494873047,88.78186805355917,87.534702520602,88.37616194562975,223396300
2010-03-26,87.58733367919922,88.21842853578322,87.24173329602012,87.80521330311942,205808500
2010-03-29,88.1432876586914,88.30106135251073,87.66996657723341,88.0305905253878,134513500
2010-03-30,88.20336151123047,88.52642345223903,87.83522302608516,88.24843805536722,145772500
2010-03-31,87.90287780761719,88.2935547424534,87.60986867348632,87.86531018241483,161078700
2010-04-01,88.50392150878906,88.84200719261474,87.97800343926463,88.50392150878906,161215200
2010-04-05,89.22518157958984,89.28528175675433,88.59408099723537,88.84201357358945,105847600
2010-04-06,89.4355239868164,89.59329765963325,88.87204412732186,88.96971190610937,110384200
2010-04-07,88.92465209960938,89.67595872043607,88.51143116534884,89.2552288470178,184576300
2010-04-08,89.23267364501953,89.38293838955262,88.35364638455304,88.61660252246858,158704000
2010-04-09,89.81868743896484,89.85624932185901,89.2552076074331,89.42049020979128,133006500
2010-04-12,89.96145629882812,90.19436525714752,89.82622087309954,89.93140334510902,110279000
2010-04-13,90.02906036376953,90.1868340428435,89.405474585515,89.87128668469558,125043600
2010-04-14,91.05081939697266,91.05081939697266,90.21686888069543,90.3596131910044,161609000
2010-04-15,91.12594604492188,91.3363109015651,90.87049891041765,90.90055185165417,144615300
2010-04-16,89.67596435546875,91.12598645406095,89.21766682940492,90.80292435752439,366786700
2010-04-19,90.0140609741211,90.10421984873933,89.00731266828797,89.41301900604653,217947800
2010-04-20,90.81793975830078,90.89307500392378,90.05912421923567,90.57752187554476,157708000
2010-04-21,90.65265655517578,91.08090108528664,90.14927677991102,90.87053042367592,192910100
2010-04-22,90.92311096191406,91.03580808437532,89.49563318411737,90.01403077621713,115360300
2010-04-23,91.51667022705078,91.5542378560614,90.630128063345,90.86303704558311,177335500
2010-04-26,91.17108154296875,91.74959100482047,91.08092839297764,91.54673495330815,143457300
2010-04-27,89.01478576660156,91.16351682062525,88.84198277062794,90.64511929673039,355853300
2010-04-28,89.69099426269531,89.91638857173423,88.85704334407289,89.44306740117098,300674100
2010-04-29,90.80291748046875,90.99074413325276,90.2093845698295,90.23192285104125,193775000
2010-04-30,89.26272583007812,90.9156036137146,89.2401875515945,90.81793009760044,270000900
2010-05-03,90.41974639892578,90.66767894777048,89.55574267938516,89.69097809402642,182747900
2010-05-04,88.29354095458984,89.428015420767,87.84275818262975,89.41299181224103,360353400
2010-05-05,87.76763153076172,88.50391447678939,87.12902210537858,87.57229022148677,328973200
2010-05-06,84.85257720947266,87.90288045777989,78.8872004108281,87.34691512651538,647356600
2010-05-07,83.59034729003906,85.47612212820243,82.2004316692531,84.62714800420105,637558800
2010-05-10,87.27178955078125,87.63992823104178,86.33265617010574,87.0088276185799,396159600
2010-05-11,87.02383422851562,88.17333226904545,86.33263361659118,86.45283967726711,317849800
2010-05-12,88.2409439086914,88.36867036680336,87.21916663587714,87.36943137129899,235607100
2010-05-13,87.14405059814453,88.413760581568,87.0689210848327,88.00053966033123,234452500
2010-05-14,85.56632232666016,86.64820584332426,84.79999199036669,86.49043211914665,345601400
2010-05-17,85.61139678955078,86.03964138235831,83.97354794245939,85.79922346590523,325739800
2010-05-18,84.44683074951172,86.56551432344091,84.16884535010517,86.31006719630825,360556800
2010-05-19,83.96601104736328,84.72482644014923,82.91418086356477,83.97351998486648,394742700
2010-05-20,80.79548645019531,82.56105524559614,80.74289523440083,82.17788739794337,530418300
2010-05-21,81.97505187988281,82.1779021108328,79.15765253216074,79.57087339596544,500909400
2010-05-24,80.92323303222656,82.18542834691902,80.8481035187835,81.5317895427341,269823000
2010-05-25,81.00585174560547,81.04341935652168,78.42135602531424,78.9698121918226,396505200
2010-05-26,80.51751708984375,82.24552435111723,80.27709923655485,81.50173251313183,349719300
2010-05-27,83.21471405029297,83.24476699976171,81.72712457766734,82.03516301071143,300870500
2010-05-28,82.17041778564453,83.1846807082262,81.77973508247736,83.12457479512119,297933500
2010-06-01,80.7879638671875,82.60612370026521,80.66775784229587,81.40403479128871,277909400
2010-06-02,82.89167022705078,82.89917916705784,80.77298554596382,81.20123013899155,240243700
2010-06-03,83.17716979980469,83.4401260165185,82.32819523383849,83.13209322894393,226618300
2010-06-04,80.25456237792969,82.14034335140225,79.98409157169402,81.59940173893092,398475600
2010-06-07,79.25531768798828,80.84808946334418,79.19521752689091,80.54005106016133,264609100
2010-06-08,80.10432434082031,80.26209806376662,78.62424918916146,79.31544999407345,357774300
2010-06-09,79.67610168457031,81.35151291729647,79.33801012912919,80.57015302749845,268023300
2010-06-10,82.0051040649414,82.10277184456272,79.66854043572842,81.03591801049497,317890600
2010-06-11,82.40330505371094,82.45589628447513,81.23126863552925,81.28385986629344,214128200
2010-06-14,82.27558135986328,83.48518535605008,82.19293718134016,83.03439684337339,207196100
2010-06-15,84.1463394165039,84.22146893029432,82.71134105544479,82.85409114405671,238268700
2010-06-16,84.1163101196289,84.46191056586554,83.54531533662154,83.71060375265125,216374000
2010-06-17,84.25151824951172,84.39426833196863,83.43259684008133,84.356700710686,263185800
2010-06-18,84.34288024902344,84.64482812602964,84.07112255228859,84.41836721827498,174006600
2010-06-21,84.10128784179688,85.45251964902765,83.63325958814792,85.3921335512056,213140700
2010-06-22,82.71231079101562,84.47118490008377,82.59153282606083,84.10129482334817,239355400
2010-06-23,82.45565032958984,83.05955164593519,81.88948960591843,82.76514853036883,254639900
2010-06-24,81.0893325805664,82.1537177774157,80.87796677788926,82.04803487607712,268523600
2010-06-25,81.42899322509766,81.84417420573291,80.59861974526034,81.33085503605321,238726500
2010-06-28,81.17237091064453,81.76872772328203,80.87796771645829,81.54981149388703,169218600
2010-06-29,78.66615295410156,81.15726270459827,78.1679344595734,80.03248580163827,373649500
